date,industry_code,pe_ttm,pb,dividend_yield
2020-08-05,801010,24.21,4.58,1.33
2020-08-05,801170,23.0,1.47,1.5
2020-08-05,801110,22.38,3.53,2.68
2020-08-05,801180,9.83,1.31,2.98
2020-08-05,801880,30.26,1.87,1.23
2020-08-05,801790,19.53,1.99,1.34
2020-08-05,801780,6.12,0.69,4.5
2020-08-05,801770,48.25,3.14,0.35
2020-08-05,801760,52.3,3.03,0.57
2020-08-05,801890,33.51,2.55,0.68
2020-08-05,801730,44.31,3.39,0.48
2020-08-05,801710,17.87,2.56,1.88
2020-08-05,801750,84.92,5.24,0.29
2020-08-06,801160,22.61,1.47,1.78
2020-08-06,801150,62.06,5.44,0.5
2020-08-06,801120,46.36,8.85,1.01
2020-08-06,801050,49.05,2.74,0.52
2020-08-06,801080,61.93,4.74,0.44
2020-08-06,801040,13.11,0.92,2.41
2020-08-06,801030,30.53,2.42,1.18
2020-08-06,801010,23.74,4.5,1.36
2020-08-06,801170,22.85,1.46,1.57
2020-08-06,801110,22.1,3.48,1.97
2020-08-06,801180,9.86,1.31,2.97
2020-08-06,801880,30.47,1.88,1.23
2020-08-06,801790,19.98,2.04,1.31
2020-08-06,801780,6.18,0.7,4.44
2020-08-06,801760,51.35,2.98,0.59
2020-08-06,801770,47.96,3.12,0.35
2020-08-06,801730,43.75,3.34,0.49
2020-08-06,801890,33.45,2.54,0.68
2020-08-06,801710,17.88,2.56,1.88
2020-08-06,801750,85.41,5.27,0.29
2020-08-07,801160,22.35,1.45,1.84
2020-08-07,801150,61.27,5.37,0.51
2020-08-07,801120,45.92,8.76,1.02
2020-08-07,801010,23.54,4.46,1.37
2020-08-07,801080,60.51,4.63,0.46
2020-08-07,801050,48.5,2.71,0.53
2020-08-07,801040,12.94,0.91,2.44
2020-08-07,801030,30.37,2.41,1.19
2020-08-07,801170,22.7,1.45,1.58
2020-08-07,801110,22.16,3.5,1.97
2020-08-07,801180,9.76,1.3,3.01
2020-08-07,801710,17.93,2.57,1.88
2020-08-07,801890,33.13,2.52,0.69
2020-08-07,801880,30.31,1.87,1.24
2020-08-07,801790,19.51,1.99,1.38
2020-08-07,801770,46.95,3.05,0.36
2020-08-07,801780,6.13,0.69,4.48
2020-08-07,801750,83.4,5.15,0.29
