event_date,event_type,industry_code,real_dir,final_dir,dir_correct,pred_mean_5,real_CAR
2024-05-17,industry_policy,801180,+,+,True,0.02634565009093312,0.027905
2024-05-17,industry_policy,801710,-,+,False,0.011407750528659295,-0.010448
2024-05-17,industry_policy,801780,+,+,True,0.014391486574602036,0.015168
2024-05-24,capital_market_policy,801790,-,+,False,0.008912914333627434,-0.005881
2024-05-24,capital_market_policy,801780,+,-,False,-0.0004593787931221043,0.00228
2024-05-24,capital_market_policy,801750,-,-,True,-0.009439929138852719,-0.001281
2024-06-19,capital_market_policy,801790,-,-,True,-0.00022653380219666354,-0.009075
2024-06-19,capital_market_policy,801780,+,-,False,-0.004698447134380889,0.028208
2024-07-10,capital_market_policy,801790,+,+,True,0.023482013908012373,0.00649
2024-07-10,capital_market_policy,801780,-,+,False,0.012295079688664601,-0.011593
2024-07-10,capital_market_policy,801750,-,-,True,-0.014991048322288708,-0.016594
2024-07-22,monetary_policy,801780,+,+,True,0.006268420131593724,0.023156
2024-07-22,monetary_policy,801790,+,+,True,0.018798594779254565,0.025813
2024-07-22,monetary_policy,801180,+,-,False,-0.010207273125536178,0.001992
2024-07-22,monetary_policy,801710,+,-,False,-0.006119174397206573,0.012554
2024-08-05,market_event,801080,-,-,True,-0.008694734566361564,-0.027684
2024-08-05,market_event,801750,-,-,True,-0.0030100503370602653,-0.042203
2024-08-05,market_event,801790,-,+,False,0.018649892720334987,-0.007489
2024-08-05,market_event,801770,-,-,True,-0.012197215621582819,-0.029484
2024-08-15,geopolitical,801080,-,-,True,-0.0053473484503968865,-0.020521
2024-08-15,geopolitical,801880,-,-,True,-0.010249791452350356,-0.017639
2024-08-15,geopolitical,801110,+,-,False,-0.0065372276878138515,0.012918
2024-08-15,geopolitical,801890,-,-,True,-0.01183708665710446,-0.01801
2024-08-15,geopolitical,801050,+,-,False,-0.012295095135664593,0.008483
2024-08-15,geopolitical,801030,-,-,True,-0.007276000884061357,-0.029439
2024-09-09,capital_market_policy,801080,-,-,True,-0.03273355399217314,-0.014621
2024-09-09,capital_market_policy,801750,+,-,False,-0.02368086207290291,0.011147
2024-09-09,capital_market_policy,801770,+,-,False,-0.022595122566288046,0.03541
2024-09-09,capital_market_policy,801790,+,-,False,-0.02651203418839641,0.019094
2024-09-24,monetary_policy,801780,-,-,True,-0.0038848224995493745,-0.147169
2024-09-24,monetary_policy,801790,+,-,False,-0.012551954842545943,0.165801
2024-09-24,monetary_policy,801180,+,-,False,-0.02292784794002263,0.017341
2024-09-24,monetary_policy,801750,+,+,True,0.0036209392569391307,0.172284
2024-09-26,capital_market_policy,801180,-,-,True,-0.006764044627521571,-0.017305
2024-09-26,capital_market_policy,801710,-,-,True,-0.0028205089744094457,-0.010046
2024-09-26,capital_market_policy,801780,-,-,True,-0.004241676013320072,-0.095562
2024-09-27,capital_market_policy,801080,+,-,False,-0.004761694203600167,0.103524
2024-09-27,capital_market_policy,801750,+,+,True,0.004512031914908327,0.10595
2024-09-27,capital_market_policy,801790,+,+,True,0.028500635984129368,0.076692
2024-09-27,capital_market_policy,801030,-,+,False,0.01551350643886423,-0.02518
2024-10-21,monetary_policy,801780,-,-,True,-0.002424941532668854,-0.034858
2024-10-21,monetary_policy,801790,-,+,False,0.071707488146772,-0.010567
2024-10-21,monetary_policy,801180,+,+,True,0.04080373862287685,0.055497
2024-10-21,monetary_policy,801710,+,+,True,0.019301702442663576,0.068042
2024-10-21,monetary_policy,801750,+,+,True,0.04042423919653519,0.009055
2024-10-29,geopolitical,801880,+,+,True,0.010817521790725346,0.021229
2024-10-29,geopolitical,801730,+,+,True,0.015159190677592888,0.000633
2024-11-08,industry_policy,801780,+,+,True,0.010908524912901365,0.008994
2024-11-08,industry_policy,801710,-,+,False,0.009501732958880448,-0.032636
2024-11-08,industry_policy,801180,-,+,False,0.017496182251027663,-0.076455
2024-12-02,geopolitical,801080,-,+,False,0.008656928559985084,-0.007227
2024-12-02,geopolitical,801770,-,+,False,0.0008664977196542828,-0.003873
2024-12-03,geopolitical,801080,-,-,True,-0.016585591370805737,-0.011904
2024-12-03,geopolitical,801880,+,-,False,-0.010028348997633057,0.007095
2024-12-03,geopolitical,801110,+,-,False,-0.02072136853972952,0.021353
2024-12-03,geopolitical,801890,+,-,False,-0.00569407681134969,0.026975
2024-12-03,geopolitical,801050,-,-,True,-0.00843844762200928,-0.002545
2024-12-03,geopolitical,801030,-,-,True,-0.012609237298507225,-0.004192
2024-12-09,industry_policy,801780,+,+,True,0.0036573536077634085,0.019374
2024-12-09,industry_policy,801790,-,+,False,0.03543253722049156,-0.021323
2024-12-09,industry_policy,801180,-,-,True,-0.009539857529582505,-0.014077
2024-12-09,industry_policy,801710,+,+,True,0.027560377478108838,0.005345
2024-12-12,industry_policy,801780,+,+,True,0.014999010484617381,0.012697
2024-12-12,industry_policy,801790,-,+,False,0.0022266236055824284,-0.02582
2024-12-12,industry_policy,801180,-,+,False,0.0029456262495113684,-0.058034
2024-12-12,industry_policy,801710,-,+,False,0.012866176818774468,-0.03697
2024-12-12,industry_policy,801880,-,+,False,0.009241986826540944,-0.012048
2025-01-13,geopolitical,801080,+,-,False,-0.024735100563625368,0.024881
2025-01-13,geopolitical,801750,+,-,False,-0.031209823468909333,0.040126
2025-01-13,geopolitical,801770,+,-,False,-0.024666440327073463,0.047158
2025-01-15,geopolitical,801080,+,-,False,-0.0013357574481619922,0.032355
2025-01-15,geopolitical,801770,+,-,False,-0.004533293098045165,0.069367
2025-01-15,geopolitical,801750,+,-,False,-0.0026328687516153026,0.003631
2025-01-27,industry_policy,801080,+,-,False,-0.02701700069508961,0.021832
2025-01-27,industry_policy,801750,+,-,False,-0.007163471194554562,0.13677
2025-01-27,industry_policy,801770,-,-,True,-0.009698294503259782,-0.00249
2025-01-27,industry_policy,801760,+,+,True,0.0027514583273616153,0.102936
2025-03-05,industry_policy,801780,-,+,False,0.0073713002130891036,-0.002111
2025-03-05,industry_policy,801790,+,+,True,0.015230374360723244,0.001636
2025-03-05,industry_policy,801180,-,-,True,-0.01527725129579068,-0.027285
2025-04-02,geopolitical,801080,-,-,True,-0.010553671946635819,-0.057707
2025-04-02,geopolitical,801110,-,-,True,-0.0014574145016193522,-0.034593
2025-04-02,geopolitical,801880,-,-,True,-0.0012839509008904467,-0.053564
2025-04-02,geopolitical,801030,-,-,True,-0.003902159153426882,-0.026722
2025-04-02,geopolitical,801050,-,+,False,0.0020117286244547145,-0.033528
2025-04-02,geopolitical,801890,-,-,True,-0.014228815900313631,-0.054115
2025-04-04,geopolitical,801010,+,-,False,-0.016848439922247088,0.067487
2025-04-04,geopolitical,801030,-,-,True,-7.275667512234574e-05,-0.013558
2025-04-04,geopolitical,801050,+,-,False,-0.012059843897056534,0.00632
2025-04-04,geopolitical,801080,-,-,True,-0.016206581004367754,-0.005477
2025-04-07,market_event,801080,-,-,True,-0.016206581004367754,-0.005477
2025-04-07,market_event,801790,-,-,True,-0.018385066308242833,-0.021835
2025-04-07,market_event,801750,-,-,True,-0.030841087533708116,-0.022496
2025-04-07,market_event,801730,-,-,True,-0.01539525718645155,-0.047053
2025-04-07,market_event,801880,-,-,True,-0.013554625068300852,-0.011746
2025-05-07,monetary_policy,801780,+,+,True,0.018184096041268513,0.030974
2025-05-07,monetary_policy,801790,+,+,True,0.0019826063239399595,0.024718
2025-05-07,monetary_policy,801180,-,+,False,0.010529138234567944,-0.033296
2025-05-07,monetary_policy,801710,-,+,False,0.0003870018661754321,-0.022555
2025-05-20,monetary_policy,801780,+,-,False,-0.0002841015776335415,0.016808
2025-05-20,monetary_policy,801790,-,-,True,-0.011697356267515408,-0.007534
2025-05-20,monetary_policy,801180,-,-,True,-0.01113577016799284,-0.01381
2025-05-20,monetary_policy,801710,-,-,True,-0.005469753162761567,-0.01064
