event_date,event_type,event_name,industry_code,direction,magnitude,window,t0,cum_ind_ret,cum_mkt_ret,CAR
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,801780,+,中,1,2023-08-21,-0.005213,-0.006812,0.0016
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,801790,+,中,1,2023-08-21,-0.016902,-0.006812,-0.01009
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,801780,+,中,5,2023-08-21,0.011661,-0.008294,0.019955
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,801790,+,中,5,2023-08-21,-0.001846,-0.008294,0.006448
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,801780,+,中,20,2023-08-21,0.010149,-0.011923,0.022072
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,801790,+,中,20,2023-08-21,-0.039693,-0.011923,-0.027771
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,801790,+,高,1,2023-08-28,0.020758,0.021826,-0.001068
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,801780,+,高,1,2023-08-28,0.001947,0.021826,-0.019878
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,801790,+,高,5,2023-08-28,0.013439,0.037691,-0.024251
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,801780,+,高,5,2023-08-28,0.016682,0.037691,-0.021008
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,801790,+,高,20,2023-08-28,-0.022756,0.000537,-0.023293
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,801780,+,高,20,2023-08-28,0.017871,0.000537,0.017334
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,1,2023-09-15,-0.003347,-0.001553,-0.001794
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,1,2023-09-15,-0.002308,-0.001553,-0.000755
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,1,2023-09-15,-0.007215,-0.001553,-0.005662
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,5,2023-09-15,0.010175,0.001453,0.008722
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,5,2023-09-15,0.015288,0.001453,0.013835
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,5,2023-09-15,-0.002224,0.001453,-0.003677
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,20,2023-09-15,-0.02621,-0.069442,0.043233
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,20,2023-09-15,-0.053196,-0.069442,0.016246
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,20,2023-09-15,-0.118886,-0.069442,-0.049443
2023-10-07,geopolitical,巴以冲突爆发：哈马斯袭击以色列引发中东局势骤紧,801030,+,高,1,2023-10-09,-0.008549,-0.008779,0.00023
